ID,bridg_po
116552,1
116568,0
116612,1
116677,1
116683,0
116704,0
116715,0
116727,0
116743,0
116791,0
116801,1
116829,0
116840,0
116872,0
116886,0
116893,0
116926,1
116974,1
117026,0
117042,0
117088,1
117100,1
117116,0
117128,0
117163,1
117222,0
117233,1
117246,0
117280,0
117298,0
117312,0
117320,1
117331,0
117354,1
117396,0
117401,1
117417,1
117429,1
117464,0
117504,0
117536,0
117589,0
117602,0
117639,1
117641,0
117656,0
117660,1
117673,1
117687,1
117710,0
117768,0
117775,1
117809,0
117813,0
117821,1
117832,0
117878,0
117897,0
117930,0
117948,1
117953,1
117976,0
117982,1
117995,0
118012,0
118020,1
118049,0
118096,0
118106,1
118152,1
118175,0
118199,1
118238,1
118240,1
118255,0
118272,0
118293,1
118335,1
118361,0
118374,0
118388,0
118405,1
118414,0
118479,0
118507,1
118511,0
118548,0
118595,0
118613,1
118632,1
118645,1
118650,1
118666,0
118678,1
118684,0
118697,1
118700,1
118716,1
118818,1
118841,1
118873,0
118894,1
118927,0
118958,1
118962,0
118989,0
118991,1
119000,0
119028,0
119037,0
119059,1
119071,0
119085,0
119139,0
119141,1
119160,0
119173,0
119187,1
119194,1
119207,0
119211,1
119224,0
119248,1
119282,1
119295,0
119305,1
119322,1
119351,0
119367,0
119379,0
119380,0
119398,1
119419,1
119426,0
119435,0
119461,0
119501,0
119517,0
119538,1
119572,1
119586,1
119593,0
119615,1
119636,1
119643,0
119658,0
119691,0
119720,1
119731,1
119796,0
119810,1
119823,1
119847,0
119852,0
119868,1
119921,0
119984,1
120034,0
120047,0
120068,0
120075,0
120109,0
120113,0
120121,0
120132,1
120166,1
120178,0
120184,1
120204,1
120215,0
120227,0
120243,1
120270,0
120301,1
120329,1
120338,0
120340,0
120372,1
120408,0
120420,1
120431,1
120449,0
120483,0
120496,0
120505,1
120546,1
120551,1
120611,1
120624,0
120630,1
120648,1
120653,1
120669,1
120676,1
120695,0
120719,0
120726,1
120742,0
120757,0
120774,0
120788,1
120790,0
120863,0
120885,1
120892,1
120925,0
120960,0
121014,0
121033,1
121046,0
121067,1
121080,0
121108,1
121120,0
121131,0
121154,1
121165,1
121203,0
121219,1
121226,1
121235,1
121242,0
121261,0
121290,0
121300,1
121316,0
121337,0
121363,1
121424,1
121430,0
121448,1
121476,0
121509,0
121578,0
121606,1
121652,1
121668,0
121675,1
121702,0
121787,0
121794,0
121815,1
121836,0
121870,1
121889,0
121929,0
121938,0
121940,0
121972,1
122019,0
122026,0
122061,1
122090,1
122100,1
122116,1
122128,0
122137,1
122185,0
122214,0
122222,1
122233,0
122279,1
122320,1
122331,0
122365,1
122383,1
122396,0
122401,1
122417,0
122438,0
122440,1
